주제,기사 제목,기사 URL,편향성 평가,주요 문장,비고
금융투자세,[성명] 금융투자소득세는 반드시 시행되어야 한다,https://ccej.or.kr/posts/54tyVa,1,자본시장이 선진화된 이후에 도입되어야 하는 제도가 아니라 자본시장 선진화를 위해 도입해야 하는 제도,"금융투자세 도입에 찬성하면 1, 반대하면 -1, 양쪽 모두 반영된 경우 0"
금융투자세,"유승민 ""금투세는 필요한 세금, 시행해야 한다""",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003063159,1,조세의 원칙 정의 공정성 차원에서 필요한 세금,
금융투자세,[커버스토리] '소득엔 세금' 맞는데…금융투자세 논란 이유는,https://sgsg.hankyung.com/article/2024100442641,0,"예정대로 내년 1월부터 시행할지를 놓고 찬성과 반대가 분분, 야당인 더불어민주당은 강행 쪽에 무게를 두다 유예론이 나오며 때아닌 내홍을 겪었습니다",
금융투자세,[커버스토리] '소득엔 세금' 맞는데…금융투자세 논란 이유는,https://sgsg.hankyung.com/article/2024100442641,-2,개미 투자자들 모임은 물론 정부와 여당도 이미 법제화된 내용을 아예 폐지해야 한다고 주장,
금융투자세,뜨거운 감자로 떠오른 '금융투자소득세',https://www.jbnews.com/news/articleView.html?idxno=1453684,2,"금투세는 금융소득에 대한 공정한 과세로 고소득 투자자에게 추가 세금을 부과해 경제적 형평성을 높일 수 있으므로 원칙적으로 찬성, 또한 이를 통해 정부는 안정적인 세수를 확보",
금융투자세,뜨거운 감자로 떠오른 '금융투자소득세',https://www.jbnews.com/news/articleView.html?idxno=1453684,0,다만 무작정 시행하기보다는 시장 환경과 투자자 심리를 충분히 고려해 여러 보완책을 마련한 후 시행하는 것이 더 바람직,
금융투자세,"[토크와이드] ① 도입 앞두고 여전히 찬반 논란, 금투세 주식시장 영향은?",https://dgmbc.com/article/hc516UPR0iESi-0eUMFV,-2,"조세 정의에 어긋나고요, 금투세를 도입했을 경우에 막대한 세수 결손이 예상, 금투세 도입에 따른 엄청난 부작용이 우려되기 때문에 반대",
금융투자세,"[토크와이드] ① 도입 앞두고 여전히 찬반 논란, 금투세 주식시장 영향은?",https://dgmbc.com/article/hc516UPR0iESi-0eUMFV,2,"미국은 금융투자세가 이미 도입, 이미 금투세가 도입된 나라의 주식은 굉장히 좋고요, 여태까지 한 번도 금융투자소득에 대해서 과세하지 않았던 우리나라는 주식이 안 좋고 계속 과세를 했던 미국은 주식이 좋은데 이것을 보고 금투세를 도입하면서 주식이 떨어진다는 것은 현실과 맞지 않고요, 야당을 비롯한 금투세 도입 찬성측은 소득 있는 곳에 세금 있다는 대전제 아래 과세원칙이 작동해야 한다고 주장",
금융투자세,"논란의 금투세, 도입이냐 폐지냐...각계 찬반 팽팽",https://www.opinionnews.co.kr/news/articleView.html?idxno=98183,-2,"정부 여당과 개인 투자자 투자업계 등은 금투세 유예를 넘어 아예 폐지를 주장, 2020년 당시 처음 제도화가 시작했을 때부터 명분도 실익도 없다는 비판이 제기됐고 투자 규모가 큰 개인투자자가 해외로 이탈하면 가뜩이나 침체된 국내 주식시장에 찬물을 끼얹을 수 있다는 것",
금융투자세,"민주 금투세 토론…""새로운 세금 아냐"" vs ""증시부양 우선""(종합)",https://www.news1.kr/politics/assembly/5549240,2,조세 중립성을 확보하고 자본시장 합리성과 형평성을 높이며 글로벌 스탠다드에 다가서는 세제 개편,
금융투자세,"민주 금투세 토론…""새로운 세금 아냐"" vs ""증시부양 우선""(종합)",https://www.news1.kr/politics/assembly/5549240,-2,2030 청년세대는 증시를 계층 이동의 사다리로 보고 있다며 박스권에 갇혀 거꾸로 가고 있는 국내 증시 상황을 고려하면 당장 금투세를 도입하는 대신 자본시장 선진화와 증시 부양이 먼저 필요하다고 주장,
